Province,Gender,Time spent using the internet,Relationship Sat: Friends,Relationship Sat: Relatives or family not living with,Life Satisfaction,Perceived Mental Health,Visible Minority
Ontario,Female,5 to less than 10 hours/week,Completely satisfied,Completely satisfied,Neither Satisfied nor Dissatisfied,Good,Non-visible minority
Ontario,Male,40 hours+/week,Somewhat satisfied,Somewhat satisfied,Quite Satisfied,Very Good,Visible minority
Ontario,Male,5 to less than 10 hours/week,Completely satisfied,Completely satisfied,Quite Satisfied,Very Good,Non-visible minority
Ontario,Female,10 to less than 20 hours/week,Somewhat satisfied,Neither satisfied nor dissatisfied,Moderately Satisfied,Very Good,Non-visible minority
Ontario,Male,10 to less than 20 hours/week,Somewhat satisfied,Somewhat satisfied,Slightly Dissatisfied,Fair,Non-visible minority
Ontario,Female,40 hours+/week,Completely satisfied,Completely satisfied,Very Satisfied,Excellent,Visible minority
Ontario,Male,10 to less than 20 hours/week,Completely satisfied,Completely satisfied,Quite Satisfied,Very Good,Non-visible minority
Ontario,Male,20 to less than 40 hours/week,Somewhat satisfied,Neither satisfied nor dissatisfied,Moderately Satisfied,Good,Non-visible minority
Ontario,Male,Less than 5 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Excellent,Visible minority
Ontario,Female,40 hours+/week,Completely satisfied,Completely satisfied,Somewhat Satisfied,Very Good,Non-visible minority
Ontario,Male,10 to less than 20 hours/week,Completely satisfied,Completely satisfied,Moderately Satisfied,Very Good,Non-visible minority
Ontario,Male,40 hours+/week,Somewhat satisfied,Somewhat satisfied,Somewhat Satisfied,Very Good,Visible minority
Ontario,Male,5 to less than 10 hours/week,Somewhat dissatisfied,Somewhat dissatisfied,Neither Satisfied nor Dissatisfied,Good,Visible minority
Ontario,Female,5 to less than 10 hours/week,Neither satisfied nor dissatisfied,Completely satisfied,Moderately Satisfied,Good,Visible minority
Ontario,Female,10 to less than 20 hours/week,Completely satisfied,Neither satisfied nor dissatisfied,Moderately Satisfied,Good,Non-visible minority
Ontario,Female,5 to less than 10 hours/week,Completely satisfied,Somewhat satisfied,Somewhat Satisfied,Fair,Non-visible minority
Ontario,Male,40 hours+/week,Completely dissatisfied,Completely dissatisfied,Neither Satisfied nor Dissatisfied,Good,Non-visible minority
Ontario,Female,10 to less than 20 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Excellent,Non-visible minority
Ontario,Female,Less than 5 hours/week,Completely satisfied,Completely satisfied,Moderately Satisfied,Very Good,Non-visible minority
Ontario,Female,20 to less than 40 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Very Good,Non-visible minority
Ontario,Female,None,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat Satisfied,Good,Visible minority
Ontario,Female,10 to less than 20 hours/week,Somewhat satisfied,Completely satisfied,Somewhat Satisfied,Fair,Non-visible minority
Ontario,Male,5 to less than 10 hours/week,Completely satisfied,Somewhat satisfied,Slightly Dissatisfied,Good,Non-visible minority
Ontario,Female,5 to less than 10 hours/week,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat Dissatisfied,Poor,Non-visible minority
Ontario,Female,Less than 5 hours/week,Completely satisfied,Completely satisfied,Very Satisfied,Very Good,Visible minority
Ontario,Female,10 to less than 20 hours/week,Completely satisfied,Somewhat satisfied,Moderately Satisfied,Very Good,Visible minority
Ontario,Female,20 to less than 40 hours/week,Completely satisfied,Completely satisfied,Slightly Satisfied,Good,Visible minority
